DHSID,landmark_pois_count,other_pois_count,retail_pois_count,services_pois_count,lodging_pois_count,entertainment_pois_count,food_pois_count,health_pois_count,education_pois_count,all_pois_count
GH201400000001,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,6.0
GH201400000002,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,7.0
GH201400000003,3.0,0.0,7.0,34.0,2.0,14.0,3.0,8.0,10.0,81.0
GH201400000004,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0
GH201400000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000006,1.0,0.0,1.0,1.0,1.0,19.0,2.0,0.0,2.0,27.0
GH201400000007,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,9.0
GH201400000008,4.0,0.0,36.0,90.0,8.0,50.0,12.0,19.0,25.0,244.0
GH201400000009,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,8.0
GH201400000010,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0
GH201400000011,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
GH201400000012,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,10.0
GH201400000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GH201400000017,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,8.0
GH201400000018,5.0,0.0,6.0,29.0,12.0,10.0,10.0,2.0,22.0,96.0
GH201400000019,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0
GH201400000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GH201400000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000022,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0
GH201400000023,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,4.0,13.0
GH201400000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
GH201400000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000028,0.0,0.0,13.0,36.0,12.0,11.0,22.0,28.0,21.0,143.0
GH201400000029,1.0,0.0,2.0,3.0,0.0,4.0,2.0,3.0,9.0,24.0
GH201400000030,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0
GH201400000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000033,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0
GH201400000034,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0
GH201400000035,0.0,0.0,14.0,59.0,18.0,50.0,43.0,20.0,24.0,228.0
GH201400000036,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
GH201400000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000038,1.0,0.0,3.0,4.0,2.0,4.0,5.0,2.0,9.0,30.0
GH201400000039,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,9.0
GH201400000040,0.0,0.0,3.0,6.0,0.0,1.0,2.0,0.0,1.0,13.0
GH201400000041,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
GH201400000042,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0
GH201400000043,1.0,0.0,6.0,21.0,6.0,4.0,6.0,0.0,9.0,53.0
GH201400000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
GH201400000046,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0
GH201400000047,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0
GH201400000048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000049,1.0,0.0,11.0,25.0,5.0,13.0,27.0,17.0,15.0,114.0
GH201400000050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000051,1.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,3.0,13.0
GH201400000052,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
GH201400000053,3.0,0.0,0.0,7.0,0.0,5.0,0.0,2.0,5.0,22.0
GH201400000054,3.0,0.0,0.0,7.0,1.0,6.0,1.0,1.0,4.0,23.0
GH201400000055,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,3.0,10.0
GH201400000056,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
GH201400000057,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
GH201400000058,0.0,0.0,4.0,26.0,3.0,10.0,11.0,5.0,7.0,66.0
GH201400000059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000060,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,7.0
GH201400000061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0
GH201400000062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GH201400000063,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,8.0,13.0
GH201400000064,0.0,0.0,2.0,6.0,1.0,2.0,1.0,1.0,6.0,19.0
GH201400000065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GH201400000066,3.0,0.0,63.0,167.0,6.0,8.0,30.0,15.0,23.0,315.0
GH201400000067,1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,5.0,16.0
GH201400000068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000069,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,16.0
GH201400000070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000072,1.0,0.0,1.0,10.0,11.0,2.0,2.0,0.0,4.0,31.0
GH201400000073,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,11.0
GH201400000074,0.0,0.0,4.0,25.0,6.0,11.0,11.0,5.0,11.0,73.0
GH201400000075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000076,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,3.0,10.0
GH201400000077,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,6.0
GH201400000078,0.0,0.0,3.0,7.0,0.0,1.0,0.0,2.0,5.0,18.0
GH201400000079,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0
GH201400000080,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
GH201400000081,3.0,0.0,12.0,47.0,8.0,10.0,21.0,13.0,20.0,134.0
GH201400000082,0.0,0.0,5.0,18.0,5.0,8.0,9.0,4.0,17.0,66.0
GH201400000083,13.0,0.0,1613.0,1082.0,47.0,41.0,408.0,100.0,116.0,3420.0
GH201400000084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000085,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
GH201400000086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
GH201400000087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000088,11.0,0.0,430.0,435.0,48.0,36.0,239.0,59.0,96.0,1354.0
GH201400000089,3.0,0.0,20.0,51.0,7.0,8.0,9.0,8.0,11.0,117.0
GH201400000090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GH201400000092,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0
GH201400000093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000094,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
GH201400000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000096,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
GH201400000097,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,8.0
GH201400000098,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
GH201400000099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000100,0.0,0.0,28.0,84.0,29.0,75.0,100.0,30.0,31.0,377.0
GH201400000101,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,12.0,18.0
GH201400000102,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,2.0,12.0
GH201400000103,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0
GH201400000104,1.0,0.0,7.0,29.0,7.0,29.0,7.0,4.0,15.0,99.0
GH201400000105,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,7.0
GH201400000106,1.0,0.0,1.0,8.0,9.0,1.0,2.0,0.0,5.0,27.0
GH201400000107,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,3.0,11.0
GH201400000108,0.0,0.0,4.0,10.0,27.0,15.0,8.0,3.0,5.0,72.0
GH201400000109,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
GH201400000110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000112,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,10.0
GH201400000113,1.0,0.0,9.0,25.0,8.0,8.0,22.0,12.0,15.0,100.0
GH201400000114,2.0,0.0,1.0,14.0,11.0,26.0,7.0,4.0,7.0,72.0
GH201400000115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000116,0.0,0.0,2.0,11.0,0.0,1.0,0.0,1.0,4.0,19.0
GH201400000117,0.0,0.0,3.0,0.0,1.0,4.0,4.0,7.0,3.0,22.0
GH201400000118,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,7.0
GH201400000119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000120,2.0,0.0,11.0,55.0,8.0,6.0,17.0,11.0,11.0,121.0
GH201400000121,2.0,0.0,14.0,56.0,51.0,23.0,37.0,18.0,34.0,235.0
GH201400000122,0.0,0.0,3.0,15.0,8.0,45.0,8.0,7.0,7.0,93.0
GH201400000124,1.0,0.0,2.0,3.0,1.0,2.0,9.0,1.0,3.0,22.0
GH201400000125,1.0,0.0,1.0,7.0,2.0,2.0,2.0,3.0,9.0,27.0
GH201400000126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000127,1.0,0.0,30.0,70.0,9.0,22.0,46.0,18.0,34.0,230.0
GH201400000128,0.0,0.0,3.0,14.0,9.0,44.0,7.0,7.0,5.0,89.0
GH201400000129,8.0,0.0,346.0,330.0,40.0,30.0,159.0,58.0,78.0,1049.0
GH201400000130,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,13.0
GH201400000131,0.0,0.0,3.0,7.0,5.0,9.0,2.0,2.0,14.0,42.0
GH201400000132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000133,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0
GH201400000134,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,6.0
GH201400000135,0.0,0.0,0.0,5.0,3.0,10.0,0.0,2.0,5.0,25.0
GH201400000136,1.0,0.0,6.0,28.0,12.0,47.0,18.0,11.0,16.0,139.0
GH201400000137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000138,2.0,0.0,586.0,512.0,42.0,12.0,324.0,55.0,85.0,1618.0
GH201400000139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000141,7.0,4.0,59.0,162.0,40.0,36.0,84.0,29.0,38.0,459.0
GH201400000142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GH201400000143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
GH201400000145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000146,3.0,0.0,48.0,77.0,9.0,24.0,40.0,24.0,30.0,255.0
GH201400000147,2.0,0.0,4.0,17.0,4.0,7.0,8.0,5.0,13.0,60.0
GH201400000148,0.0,0.0,3.0,11.0,2.0,7.0,2.0,1.0,9.0,35.0
GH201400000149,2.0,0.0,15.0,44.0,5.0,12.0,23.0,19.0,35.0,155.0
GH201400000150,0.0,0.0,1.0,5.0,1.0,5.0,2.0,1.0,7.0,22.0
GH201400000151,15.0,0.0,1739.0,1125.0,51.0,91.0,468.0,93.0,106.0,3688.0
GH201400000152,3.0,0.0,3.0,10.0,7.0,7.0,1.0,3.0,9.0,43.0
GH201400000153,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
GH201400000154,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0
GH201400000155,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0
GH201400000156,4.0,0.0,25.0,56.0,20.0,10.0,43.0,28.0,40.0,226.0
GH201400000157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000158,3.0,0.0,8.0,30.0,23.0,25.0,24.0,19.0,29.0,161.0
GH201400000159,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,4.0,11.0
GH201400000160,0.0,0.0,3.0,7.0,1.0,16.0,2.0,1.0,7.0,37.0
GH201400000161,1.0,0.0,11.0,17.0,5.0,5.0,21.0,3.0,7.0,70.0
GH201400000162,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,9.0
GH201400000163,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,6.0,13.0
GH201400000164,2.0,0.0,13.0,50.0,4.0,11.0,27.0,17.0,24.0,148.0
GH201400000165,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,14.0
GH201400000166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GH201400000167,1.0,0.0,21.0,37.0,3.0,1.0,38.0,18.0,14.0,133.0
GH201400000168,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,6.0,13.0
GH201400000169,0.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,2.0,11.0
GH201400000170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000172,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,9.0
GH201400000173,2.0,0.0,11.0,19.0,1.0,4.0,9.0,7.0,12.0,65.0
GH201400000174,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,4.0,12.0
GH201400000175,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
GH201400000176,1.0,0.0,12.0,29.0,14.0,14.0,15.0,14.0,15.0,114.0
GH201400000177,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
GH201400000178,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0
GH201400000179,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0
GH201400000180,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0
GH201400000181,1.0,0.0,3.0,7.0,2.0,6.0,7.0,7.0,8.0,41.0
GH201400000182,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0
GH201400000183,2.0,0.0,12.0,23.0,12.0,13.0,24.0,9.0,14.0,109.0
GH201400000184,4.0,0.0,53.0,87.0,11.0,22.0,45.0,23.0,30.0,275.0
GH201400000185,3.0,0.0,38.0,65.0,23.0,25.0,46.0,11.0,42.0,253.0
GH201400000186,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0
GH201400000187,1.0,0.0,10.0,14.0,5.0,4.0,19.0,3.0,5.0,61.0
GH201400000188,5.0,0.0,12.0,55.0,14.0,59.0,21.0,12.0,24.0,202.0
GH201400000189,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,2.0,9.0
GH201400000190,15.0,0.0,1777.0,1148.0,38.0,66.0,449.0,93.0,119.0,3705.0
GH201400000191,0.0,0.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,24.0
GH201400000192,1.0,0.0,1.0,11.0,7.0,11.0,1.0,1.0,5.0,38.0
GH201400000193,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
GH201400000194,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,8.0
GH201400000195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000196,2.0,0.0,45.0,47.0,24.0,10.0,49.0,33.0,55.0,265.0
GH201400000197,2.0,0.0,0.0,7.0,2.0,3.0,3.0,0.0,2.0,19.0
GH201400000198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000201,1.0,0.0,21.0,85.0,16.0,19.0,37.0,26.0,37.0,242.0
GH201400000202,2.0,0.0,1.0,14.0,7.0,27.0,8.0,8.0,12.0,79.0
GH201400000203,0.0,0.0,8.0,24.0,11.0,16.0,27.0,10.0,25.0,121.0
GH201400000205,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,8.0
GH201400000206,0.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,9.0,21.0
GH201400000207,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0
GH201400000208,1.0,0.0,0.0,4.0,0.0,1.0,1.0,3.0,0.0,10.0
GH201400000209,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,9.0
GH201400000210,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
GH201400000211,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,9.0,18.0
