DHSID,commercial_buildings_count,commercial_buildings_totalarea,commercial_buildings_avgarea,commercial_buildings_ratio,damaged_buildings_count,damaged_buildings_totalarea,damaged_buildings_avgarea,damaged_buildings_ratio,education_buildings_count,education_buildings_totalarea,education_buildings_avgarea,education_buildings_ratio,government_buildings_count,government_buildings_totalarea,government_buildings_avgarea,government_buildings_ratio,health_buildings_count,health_buildings_totalarea,health_buildings_avgarea,health_buildings_ratio,industrial_buildings_count,industrial_buildings_totalarea,industrial_buildings_avgarea,industrial_buildings_ratio,other_buildings_count,other_buildings_totalarea,other_buildings_avgarea,other_buildings_ratio,recreational_buildings_count,recreational_buildings_totalarea,recreational_buildings_avgarea,recreational_buildings_ratio,religious_buildings_count,religious_buildings_totalarea,religious_buildings_avgarea,religious_buildings_ratio,residential_buildings_count,residential_buildings_totalarea,residential_buildings_avgarea,residential_buildings_ratio,all_buildings_count,all_buildings_totalarea,all_buildings_avgarea,all_buildings_ratio
ML201800000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,313.5488878654434,18.444052227379025,3.998648690565872e-06,17.0,313.5488878654434,18.444052227379025,3.998648690565872e-06
ML201800000068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,5412.047953399587,23.530643275650377,0.0004313697022150598,230.0,5412.047953399587,23.530643275650377,0.0004313697022150598
ML201800000069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,766.7764048726351,255.59213495754503,9.778600996398659e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2520.694719441052,1260.347359720526,3.214609596553429e-05,11.0,1395.2027511072822,126.83661373702566,1.7792841466505485e-05,0.0,0.0,0.0,0.0,1.0,357.531965850534,357.531965850534,4.559559234339156e-06,75.0,2709.908028534534,36.13210704712712,3.4559108991333834e-05,92.0,7750.113869806037,84.24036815006562,9.883620665411143e-05
ML201800000070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1182.6163232895408,295.6540808223852,1.5081754059969387e-05,1.0,228.1129341685288,228.1129341685288,2.909094947597334e-06,5.0,1410.7292574580697,282.14585149161394,1.7990849007566723e-05
ML201800000072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2476.0148693464844,1238.0074346732422,3.157629957655179e-05,2.0,2476.0148693464844,1238.0074346732422,3.157629957655179e-05
ML201800000074,2.0,1444.51891409498,722.25945704749,1.8421764158265177e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,43397.04241495742,76.53799367717357,0.0005534369074256447,0.0,0.0,0.0,0.0,8.0,2469.7009943972007,308.7126242996501,3.149577954036174e-05,75.0,7438.985366845392,99.18647155793856,9.48684248213319e-05,652.0,54750.24769029499,83.97277253112729,0.0006982228759456037
ML201800000075,6.0,4217.394660190304,702.8991100317174,5.3783892363241816e-05,0.0,0.0,0.0,0.0,51.0,20039.677657810364,392.9348560354973,0.0002555634350077874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1275.642086067748,255.12841721354962,1.6268099663215564e-05,643.0,40628.22142324385,63.185414344080634,0.0005181264889824421,2.0,10739.438000247728,5369.719000123864,0.0001369586733011534,23.0,11680.802749996992,507.860989130304,0.00014896377703331866,556.0,68854.28904706323,123.83864936522163,0.0008780899036581233,1286.0,157435.4656246202,122.42260157435474,0.0020077542700092823
ML201800000076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3417.8389405854077,310.7126309623098,4.3587260976673765e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5653.770248070792,1413.442562017698,7.210180572833143e-05,53.0,7085.687379047344,133.69221469900648,9.036286096522763e-05,0.0,0.0,0.0,0.0,10.0,4394.340066683165,439.4340066683165,5.604045440302889e-05,231.0,41620.97619993605,180.1773861469093,0.0005307869631270025,309.0,62172.61283432276,201.20586677774355,0.0007928793452002643
ML201800000077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,963.4567279009902,137.63667541442717,1.2286839891747536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17672.093585903534,981.7829769946408,0.00022536993946269804,36.0,5113.8643113556,142.05178642654445,6.521645467008986e-05,0.0,0.0,0.0,0.0,2.0,469.3323690510462,234.6661845255231,5.98533541522726e-06,86.0,7132.223764871382,82.93283447524863,9.095633351589097e-05,149.0,31350.970759082553,210.40919972538626,0.0003998149029556537
ML201800000078,4.0,2298.2142910407524,574.5535727601881,2.9308831640485855e-05,0.0,0.0,0.0,0.0,32.0,12769.848420962737,399.0577631550855,0.0001628522365836617,0.0,0.0,0.0,0.0,7.0,3430.717322764803,490.10247468068616,4.375149733033707e-05,0.0,0.0,0.0,0.0,123.0,21426.22808650836,174.1969763130761,0.0002732459345180303,0.0,0.0,0.0,0.0,41.0,25512.262352888152,622.2503012899549,0.0003253546046526805,78.0,17982.977317594865,230.5509912512162,0.00022933459975892122,285.0,83420.24779175967,292.70262383073566,0.0010638477044841166
ML201800000079,4.0,2298.2142910407524,574.5535727601881,2.9308831640485865e-05,0.0,0.0,0.0,0.0,31.0,12535.26502990015,404.3633880612952,0.00015986062473044593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,19052.691385694885,184.9775862688824,0.0002429765258611234,0.0,0.0,0.0,0.0,36.0,22020.574386397464,611.682621844374,0.0002808255565347863,33.0,16991.765298016027,514.9019787277584,0.00021669380019766446,207.0,72898.51039104929,352.16671686497244,0.0009296653389645061
ML201800000080,1.0,801.0378680958504,801.0378680958504,1.0215533035887325e-05,0.0,0.0,0.0,0.0,16.0,5382.535459067343,336.40846619170895,6.864278330516823e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3281.414509242464,136.72560455176935,4.184745772792266e-05,0.0,0.0,0.0,0.0,16.0,8259.662393150615,516.2288995719134,0.00010533441351914954,27.0,9919.057907780298,367.372515102974,0.0001264964713624304,84.0,27643.70813733657,329.09176353972106,0.00035253665895055815
ML201800000081,2.0,8287.912941023038,4143.956470511519,0.00010569468912729094,0.0,0.0,0.0,0.0,63.0,21418.676797006876,339.9789967778869,0.00027314963389300746,0.0,0.0,0.0,0.0,2.0,4324.5926755576875,2162.2963377788437,5.5150974883286794e-05,57.0,114078.28365286543,2001.3733974186916,0.0014548256976956355,74.0,11859.47787802699,160.2632145679323,0.00015124239798968255,0.0,0.0,0.0,0.0,22.0,10404.466583237258,472.93029923805716,0.00013268682584819782,529.0,84437.76544217972,159.61770404948908,0.0010768239763764536,749.0,254811.17596989698,340.2018370759639,0.0032495741958135545
ML201800000082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,64.65260559245105,21.550868530817016,8.245063742814792e-07,3.0,64.65260559245105,21.550868530817016,8.245063742814792e-07
ML201800000084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1415.4663367043227,1415.4663367043227,1.8051260370700793e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1558.8758230578999,62.35503292231599,1.988014312874949e-05,26.0,2974.3421597622228,114.3977753754701,3.793140349945028e-05
ML201800000086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1534.8596044572869,383.7149011143217,0.00012233667111186385,0.0,0.0,0.0,0.0,4.0,1534.8596044572869,383.7149011143217,0.00012233667111186385
ML201800000088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2561.1195415326806,232.8290492302437,3.2661628528968487e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2561.1195415326806,232.8290492302437,3.2661628528968487e-05
ML201800000090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,704.9444993158845,176.23612482897113,8.990066647344436e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,704.9444993158845,176.23612482897113,8.990066647344436e-06
ML201800000101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000103,1.0,175.1059272896136,175.1059272896136,2.2331033977942566e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83.41891687868431,83.41891687868431,1.0638307315206227e-06,2.0,258.52484416829793,129.26242208414897,3.2969341293148796e-06
ML201800000104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000109,11.0,4632.694248213357,421.15402256485066,0.0003692509666419225,0.0,0.0,0.0,0.0,10.0,4101.193666359494,410.1193666359494,0.00032688747509572957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,133.19443907903153,133.19443907903153,1.0616322326954478e-05,12.0,2077.9209180308467,173.16007650257055,0.00016562161594935125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1951.759514161663,243.96993927020787,0.0001555658648387391,42.0,12896.762785844392,307.06578061534265,0.001027942244852697
ML201800000110,11.0,4632.694248213357,421.15402256485066,0.0003692509666419344,0.0,0.0,0.0,0.0,10.0,4101.193666359494,410.1193666359494,0.00032688747509574014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,663.7814079253196,110.63023465421993,5.290699393984275e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,482.57260294910634,80.42876715818439,3.846366510861207e-05,33.0,9880.241925447279,299.40127046809937,0.0007875091007861295
ML201800000111,11.0,4632.694248213357,421.15402256485066,0.0003692509666419137,0.0,0.0,0.0,0.0,8.0,3660.1828514975423,457.5228564371928,0.0002917365108916593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2278.90566864677,126.60587048037613,0.00018164119537094088,1.0,11861.702042202804,11861.702042202804,0.0009454422654356943,0.0,0.0,0.0,0.0,6.0,482.57260294910634,80.42876715818439,3.846366510860991e-05,44.0,22916.057413509578,520.8194866706722,0.001826534603448818
ML201800000112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62.969218998084244,62.969218998084244,5.018989758000264e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,176.70357731690032,88.35178865845016,1.4084237646055488e-05,3.0,239.67279631498457,79.89093210499486,1.910322740405575e-05
ML201800000113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,654.520383065452,163.630095766363,8.347014369945666e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.24338813461213,76.24338813461213,9.72322135167656e-07,5.0,730.7637712000642,146.15275424001283,9.319336505113323e-06
ML201800000116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1106.8570674789948,158.122438211285,1.4115606002142177e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.60733747470602,41.60733747470602,5.306130302160817e-07,8.0,1148.464404953701,143.55805061921262,1.4646219032358262e-05
ML201800000117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
